Creating header
Reading header
Read from /home/vsand/OpenSpace/enlilTestData_256_256_256_32.vdf complete!
Data dimensionality: 1
Number of timesteps: 32
Dimensions: 256 x 256 x 256
Brick dimensions: 32 x 32 x 32
Number of bricks: 8 x 8 x 8
Structure: 0
Data size (bytes): 4
Out file name: /home/vsand/OpenSpace/tsp_test.tsp
Number of bricks in base octree level: 512
Number of levels in octree: 4
Number of bricks in octree: 585
Constructing octree for timestep 0
121 writing val 0 0 0
122 writing val 0 0 0
123 writing val 0 0 0
124 writing val 0 0 0
125 writing val 0 0 0
126 writing val 0 0 0
127 writing val 0 0 0
128 writing val 0.536946 0.0911238 0.0139372
129 writing val 0.0134049 0.00754288 0.00311965
130 writing val 0.577155 0.0873067 0.00966084
131 writing val 0.0131992 0.00700591 0.00228989
132 writing val 0.375291 0.0886512 0.0186331
133 writing val 0.0238505 0.015957 0.00618586
134 writing val 0.268791 0.048654 0.00811005
135 writing val 0.0107806 0.00694851 0.00228472
136 writing val 0.00533438 0.0063853 0.00386381
137 writing val 0.00460451 0.00369942 0.00289158
138 writing val 0.002528 0.00194377 0.00113246
139 writing val 0.00150415 0.00150824 0.000643081
140 writing val 0.00860088 0.00666484 0.003194
141 writing val 0.00164021 0.00116219 0.000941369
142 writing val 0.00281996 0.00224258 0.00114077
143 writing val 0.00313059 0.00310502 0.000991967
144 writing val 0.197928 0.0375251 0.00749125
145 writing val 0.00724494 0.00456952 0.00223287
146 writing val 0 0 0
147 writing val 0 0 0
148 writing val 0.195717 0.0363341 0.00746648
149 writing val 0.0071479 0.00454907 0.00222768
150 writing val 0 0 0
151 writing val 0 0 0
152 writing val 0.00216923 0.00167081 0.00105705
153 writing val 0.00104106 0.000867476 0.000613606
154 writing val 0 0 0
155 writing val 0 0 0
156 writing val 0.00217856 0.00167813 0.00105448
157 writing val 0.00104509 0.000872737 0.000614676
158 writing val 0 0 0
159 writing val 0 0 0
160 writing val 0.633128 0.129683 0.0284734
161 writing val 0.024662 0.0106621 0.00433832
162 writing val 0.226002 0.0476486 0.00847089
163 writing val 0.0143059 0.0125126 0.00375966
164 writing val 0.481578 0.0705831 0.0150431
165 writing val 0.00943371 0.00601771 0.00512486
166 writing val 0.488174 0.0784049 0.0116652
167 writing val 0.0178726 0.0133668 0.00656727
168 writing val 0.00331224 0.00212551 0.00181062
169 writing val 0.0010256 0.000854948 0.00149961
170 writing val 0.0045486 0.0031858 0.00169377
171 writing val 0.00329755 0.00312513 0.00212607
172 writing val 0.00473561 0.0038704 0.00101161
173 writing val 0.0016372 0.00147291 0.00215327
174 writing val 0.0044776 0.00231564 0.00169838
175 writing val 0.00107072 0.000896501 0.000825719
176 writing val 0.195797 0.0362341 0.00746914
177 writing val 0.00718383 0.00463541 0.00224506
178 writing val 0 0 0
179 writing val 0 0 0
180 writing val 0.199274 0.0379622 0.00753172
181 writing val 0.00759573 0.00504349 0.00234471
182 writing val 0 0 0
183 writing val 0 0 0
184 writing val 0.00236274 0.0018525 0.00106785
185 writing val 0.00113315 0.000932984 0.000626735
186 writing val 0 0 0
187 writing val 0 0 0
188 writing val 0.00313845 0.00281299 0.00128706
189 writing val 0.00286174 0.00248433 0.0015628
190 writing val 0 0 0
191 writing val 0 0 0
192 writing val 0.00240014 0.000968893 0
193 writing val 0 0 0
194 writing val 0.000885168 0.000665449 0
195 writing val 0 0 0
196 writing val 0.000663626 0.000485685 0
197 writing val 0 0 0
198 writing val 0.00124093 0.000960018 0
199 writing val 0 0 0
200 writing val 0 0 0
201 writing val 0 0 0
